time,mean_tbs_dl,mean_tbs_ul,max_tbs_dl,max_tbs_ul,total_dl,total_ul,num_of_packets_dl,num_of_packets_ul,series_id
0.1,86.0,166.0,157.0,249.0,258.0,498.0,2.0,2.0,0.0
0.5,52.333333333333336,128.66666666666666,157.0,193.0,157.0,386.0,1.0,2.0,0.0
1.2,61.0,164.75,469.0,249.0,488.0,1318.0,2.0,6.0,0.0
1.3,23.829268292682926,292.7317073170732,597.0,1287.0,977.0,12002.0,6.0,30.0,0.0
1.5,89.41666666666667,266.77777777777777,775.0,999.0,3219.0,9604.0,9.0,24.0,0.0
1.7,0.16279069767441862,505.1860465116279,7.0,1239.0,7.0,21723.0,1.0,37.0,0.0
1.8,203.91489361702128,136.2340425531915,1620.0,749.0,9584.0,6403.0,21.0,23.0,0.0
2.1,6.333333333333333,220.66666666666666,19.0,469.0,19.0,662.0,1.0,2.0,0.0
2.2,173.25,133.8125,871.0,871.0,2772.0,2141.0,6.0,7.0,0.0
2.3000000000000003,122.425,166.675,775.0,871.0,4897.0,6667.0,15.0,19.0,0.0
2.5000000000000004,333.25,105.03846153846153,1692.0,903.0,17329.0,5462.0,25.0,16.0,0.0
2.6000000000000005,95.14285714285714,99.64285714285714,775.0,249.0,1332.0,1395.0,5.0,7.0,0.0
3.3000000000000007,24.583333333333332,285.5,253.0,999.0,590.0,6852.0,5.0,16.0,0.0
3.500000000000001,17.0,178.4,85.0,249.0,85.0,892.0,1.0,4.0,0.0
3.600000000000001,28.333333333333332,147.33333333333334,85.0,225.0,85.0,442.0,1.0,2.0,0.0
4.000000000000001,48.77777777777778,204.22222222222223,253.0,597.0,439.0,1838.0,3.0,6.0,0.0
4.1000000000000005,64.78571428571429,156.03571428571428,389.0,749.0,1814.0,4369.0,13.0,13.0,0.0
4.2,20.535714285714285,203.10714285714286,225.0,775.0,575.0,5687.0,8.0,17.0,0.0
4.3,52.41463414634146,127.02439024390245,775.0,807.0,2149.0,5208.0,19.0,20.0,0.0
4.5,45.54545454545455,104.77272727272727,225.0,453.0,1002.0,2305.0,11.0,9.0,0.0
4.6,30.53846153846154,176.0,225.0,717.0,397.0,2288.0,5.0,8.0,0.0
4.699999999999999,52.5,134.78571428571428,233.0,597.0,735.0,1887.0,7.0,7.0,0.0
4.799999999999999,60.52272727272727,191.3181818181818,749.0,1063.0,2663.0,8418.0,16.0,24.0,0.0
4.999999999999999,47.0,152.25,225.0,501.0,752.0,2436.0,7.0,8.0,0.0
5.099999999999999,113.375,178.5,645.0,645.0,907.0,1428.0,4.0,4.0,0.0
5.199999999999998,110.0,112.5,645.0,233.0,660.0,675.0,2.0,3.0,0.0
5.499999999999998,165.6,122.2,1191.0,225.0,1656.0,1222.0,4.0,6.0,0.0
5.599999999999998,36.25,97.5,193.0,225.0,290.0,780.0,3.0,4.0,0.0
5.6999999999999975,19.4,117.4,93.0,201.0,97.0,587.0,2.0,3.0,0.0
5.999999999999997,6.0,177.33333333333334,36.0,469.0,36.0,1064.0,1.0,4.0,0.0
6.099999999999997,45.36363636363637,157.72727272727272,225.0,501.0,499.0,1735.0,4.0,7.0,0.0
6.199999999999997,12.0,203.06666666666666,61.0,1063.0,180.0,3046.0,7.0,8.0,0.0
7.099999999999997,10.0,193.0,15.0,193.0,30.0,579.0,2.0,3.0,0.0
8.099999999999998,5.0,193.0,15.0,193.0,15.0,579.0,1.0,3.0,0.0
8.299999999999997,36.06896551724138,570.3793103448276,693.0,1836.0,1046.0,16541.0,6.0,22.0,0.0
8.499999999999996,25.88888888888889,218.55555555555554,101.0,1143.0,233.0,1967.0,4.0,5.0,0.0
8.599999999999996,89.5,149.78571428571428,871.0,903.0,1253.0,2097.0,6.0,7.0,0.0
8.699999999999996,190.63636363636363,76.72727272727273,775.0,285.0,2097.0,844.0,7.0,4.0,0.0
8.799999999999995,207.60714285714286,117.67857142857143,1383.0,871.0,5813.0,3295.0,14.0,13.0,0.0
8.999999999999995,214.6,78.8,871.0,225.0,1073.0,394.0,3.0,2.0,0.0
9.099999999999994,50.5,88.5,101.0,177.0,101.0,177.0,1.0,1.0,0.0
9.999999999999995,9.666666666666666,96.5,101.0,225.0,116.0,1158.0,2.0,6.0,0.0
10.199999999999994,8.0,177.75,32.0,293.0,32.0,711.0,1.0,3.0,0.0
10.499999999999995,134.5,96.5,269.0,193.0,269.0,193.0,1.0,1.0,0.0
10.599999999999994,79.9375,195.4375,269.0,967.0,1279.0,3127.0,7.0,9.0,0.0
10.699999999999994,58.905660377358494,193.0566037735849,389.0,1143.0,3122.0,10232.0,21.0,30.0,0.0
10.899999999999993,283.0232558139535,172.53488372093022,2385.0,967.0,12170.0,7419.0,13.0,29.0,0.0
11.099999999999993,673.0588235294117,98.98039215686275,3182.0,1143.0,34326.0,5048.0,32.0,16.0,0.0
11.199999999999992,223.07692307692307,114.38461538461539,935.0,453.0,2900.0,1487.0,6.0,7.0,0.0
11.299999999999992,483.3478260869565,111.84782608695652,4251.0,1143.0,22234.0,5145.0,25.0,19.0,0.0
11.499999999999991,319.4375,108.25,2577.0,437.0,5111.0,1732.0,8.0,8.0,0.0
11.59999999999999,508.1363636363636,70.5,2052.0,389.0,11179.0,1551.0,14.0,7.0,0.0
11.69999999999999,872.7391304347826,68.52173913043478,3302.0,217.0,20073.0,1576.0,14.0,8.0,0.0
11.79999999999999,267.86842105263156,95.1842105263158,2577.0,325.0,10179.0,3617.0,18.0,17.0,0.0
11.99999999999999,367.57894736842104,167.1578947368421,2124.0,807.0,6984.0,3176.0,9.0,10.0,0.0
12.099999999999989,409.875,107.83333333333333,2577.0,309.0,9837.0,2588.0,12.0,12.0,0.0
12.199999999999989,113.3076923076923,216.84615384615384,501.0,967.0,1473.0,2819.0,5.0,7.0,0.0
12.899999999999988,51.3,299.2,253.0,1527.0,513.0,2992.0,4.0,6.0,0.0
12.999999999999988,42.61538461538461,190.23076923076923,225.0,1431.0,554.0,2473.0,6.0,7.0,0.0
13.099999999999987,72.73529411764706,388.0,405.0,1287.0,2473.0,13192.0,14.0,20.0,0.0
13.299999999999986,179.1818181818182,113.4,1980.0,1031.0,9855.0,6237.0,30.0,19.0,0.0
13.499999999999986,0.0,196.11111111111111,0.0,253.0,0.0,1765.0,0.0,9.0,0.0
13.699999999999985,19.833333333333332,482.27777777777777,357.0,871.0,357.0,8681.0,1.0,17.0,0.0
13.799999999999985,46.95238095238095,174.28571428571428,357.0,693.0,986.0,3660.0,4.0,16.0,0.0
13.999999999999984,34.869565217391305,133.47826086956522,225.0,967.0,802.0,3070.0,10.0,12.0,0.0
14.199999999999983,78.0,88.76923076923077,389.0,225.0,1014.0,1154.0,7.0,6.0,0.0
14.299999999999983,103.5,95.16666666666667,775.0,225.0,2484.0,2284.0,12.0,12.0,0.0
14.499999999999982,68.80952380952381,72.38095238095238,967.0,201.0,1445.0,1520.0,10.0,8.0,0.0
14.699999999999982,87.75,76.375,269.0,225.0,702.0,611.0,5.0,3.0,0.0
14.799999999999981,78.89473684210526,71.73684210526316,357.0,225.0,1499.0,1363.0,10.0,7.0,0.0
14.99999999999998,73.52,80.44,373.0,201.0,1838.0,2011.0,14.0,11.0,0.0
15.19999999999998,50.36363636363637,105.27272727272727,309.0,225.0,554.0,1158.0,4.0,6.0,0.0
15.29999999999998,75.6,95.72,485.0,225.0,1890.0,2393.0,11.0,13.0,0.0
15.499999999999979,110.96551724137932,313.2758620689655,1095.0,1143.0,3218.0,9085.0,12.0,17.0,0.0
15.699999999999978,144.75,113.625,1095.0,193.0,1158.0,909.0,4.0,5.0,0.0
16.099999999999977,2.3333333333333335,174.33333333333334,7.0,177.0,7.0,523.0,1.0,3.0,0.0
16.999999999999975,101.77777777777777,180.77777777777777,253.0,621.0,916.0,1627.0,4.0,7.0,0.0
18.099999999999977,84.33333333333333,174.33333333333334,253.0,177.0,253.0,523.0,1.0,3.0,0.0
